,team_code,Opponent_code,season,Round_code,Venue_code,Referee_code,Formation_code,Day_code,Result_code,GF,GF_rolling,GA,GA_rolling
5331,0,33,2017,3,1,27,4,5,2,2,2.6666666666666665,0,2.0
5332,0,9,2017,4,0,19,4,6,2,1,1.6666666666666667,0,1.3333333333333333
5333,0,15,2017,5,1,10,4,2,2,5,1.3333333333333333,0,1.0
5334,0,21,2017,6,1,0,4,5,1,1,2.6666666666666665,3,0.0
5335,0,29,2017,7,0,38,4,6,0,1,2.3333333333333335,1,1.0
5336,0,36,2017,8,0,15,16,2,0,0,2.3333333333333335,0,1.3333333333333333
5337,0,23,2017,9,1,41,16,5,2,1,0.6666666666666666,0,1.3333333333333333
5338,0,19,2017,10,1,24,12,4,0,3,0.6666666666666666,3,0.3333333333333333
5339,0,12,2017,12,0,25,4,3,2,3,1.3333333333333333,2,1.0
5340,0,35,2017,13,0,27,4,6,0,1,2.3333333333333335,1,1.6666666666666667
5341,0,11,2017,14,1,2,4,2,0,2,2.3333333333333335,2,2.0
5342,0,6,2017,15,0,18,4,6,1,1,2.0,2,1.6666666666666667
5343,0,12,2017,16,1,5,10,5,2,4,1.3333333333333333,1,1.6666666666666667
5344,0,32,2017,17,0,19,16,1,1,1,2.3333333333333335,3,1.6666666666666667
5345,0,13,2017,18,1,30,12,5,2,5,2.0,1,2.0
5346,0,33,2017,19,0,2,16,5,1,0,3.3333333333333335,1,1.6666666666666667
5347,0,20,2017,20,1,0,12,3,1,0,2.0,3,1.6666666666666667
5348,0,8,2017,21,0,41,12,6,1,1,1.6666666666666667,2,1.6666666666666667
5349,0,34,2017,23,1,24,12,6,2,3,0.3333333333333333,0,2.0
5350,0,30,2017,25,1,6,12,6,2,3,1.3333333333333333,0,1.6666666666666667
5351,0,29,2017,26,1,0,12,6,2,3,2.3333333333333335,2,0.6666666666666666
5352,0,23,2017,27,0,2,16,6,1,1,3.0,2,0.6666666666666666
5353,0,36,2017,28,1,19,16,6,2,4,2.3333333333333335,1,1.3333333333333333
5354,0,21,2017,29,0,18,12,6,1,1,2.6666666666666665,2,1.6666666666666667
5355,0,9,2017,30,1,0,16,6,2,5,2.0,0,1.6666666666666667
5356,0,18,2017,24,0,10,16,2,1,1,3.3333333333333335,3,1.0
5357,0,15,2017,31,0,25,16,6,2,1,2.3333333333333335,0,1.6666666666666667
6080,0,20,2018,0,1,25,12,6,1,0,2.3333333333333335,2,1.0
6081,0,11,2018,11,0,24,12,5,1,2,0.6666666666666666,3,1.6666666666666667
6082,0,36,2018,22,1,10,12,5,2,3,1.0,1,1.6666666666666667
6083,0,10,2018,32,0,2,12,6,2,3,1.6666666666666667,2,2.0
6084,0,23,2018,33,0,20,12,5,2,2,2.6666666666666665,1,2.0
6085,0,13,2018,34,1,15,12,6,2,2,2.6666666666666665,0,1.3333333333333333
6086,0,34,2018,35,1,2,12,5,2,2,2.3333333333333335,0,1.0
6087,0,14,2018,36,0,32,18,6,2,5,2.0,1,0.3333333333333333
6088,0,18,2018,37,1,5,12,0,2,3,3.0,1,0.3333333333333333
6089,0,12,2018,1,0,24,12,6,0,2,3.3333333333333335,2,0.6666666666666666
6090,0,19,2018,2,1,0,12,5,0,1,3.3333333333333335,1,1.3333333333333333
6091,0,38,2018,3,1,41,12,6,0,1,2.0,1,1.3333333333333333
6092,0,6,2018,4,0,6,4,6,2,2,1.3333333333333333,1,1.3333333333333333
6093,0,33,2018,5,1,27,4,6,2,4,1.3333333333333333,2,1.0
6094,0,21,2018,6,0,0,4,2,0,2,2.3333333333333335,2,1.3333333333333333
6095,0,15,2018,7,1,32,0,5,2,1,2.6666666666666665,0,1.6666666666666667
6096,0,29,2018,8,0,5,4,6,1,2,2.3333333333333335,3,1.3333333333333333
6097,0,9,2018,9,1,18,14,5,2,3,1.6666666666666667,1,1.6666666666666667
6098,0,8,2018,10,0,2,8,2,0,1,2.0,1,1.3333333333333333
6099,0,19,2018,12,0,25,12,5,1,1,2.0,5,1.6666666666666667
6100,0,14,2018,13,1,10,4,1,2,4,1.6666666666666667,1,2.3333333333333335
6101,0,36,2018,14,0,15,4,5,1,0,2.0,1,2.3333333333333335
6102,0,11,2018,15,1,2,8,5,2,2,1.6666666666666667,0,2.3333333333333335
6103,0,10,2018,16,1,27,14,1,2,2,2.0,1,0.6666666666666666
6104,0,20,2018,17,0,24,18,6,1,1,1.3333333333333333,3,0.6666666666666666
6105,0,15,2018,18,0,15,4,5,2,2,1.6666666666666667,1,1.3333333333333333
6106,0,29,2018,19,1,10,12,6,2,2,1.6666666666666667,0,1.6666666666666667
6107,0,6,2018,20,1,5,4,2,2,5,1.6666666666666667,1,1.3333333333333333
6108,0,33,2018,21,0,2,12,5,0,1,3.0,1,0.6666666666666666
6109,0,21,2018,23,1,15,3,6,2,2,2.6666666666666665,0,0.6666666666666666
6110,0,23,2018,25,1,2,4,0,2,2,2.6666666666666665,0,0.6666666666666666
6111,0,13,2018,26,0,18,4,6,1,0,1.6666666666666667,1,0.3333333333333333
6112,0,34,2018,27,0,6,12,0,2,1,1.3333333333333333,0,0.3333333333333333
